source,headline,summary,newsLink
onlinekhabar, स्पेनले चीनबाट अत्यावश्वक स्वास्थ्य सामग्री ल्याउने ,,https://www.onlinekhabar.com/2020/03/847698
onlinekhabar, इन्डक्सन प्रयोग बढाउन विद्युत र भन्सार महसूलमा छूट दिइने ,,https://www.onlinekhabar.com/2020/03/847697
onlinekhabar, कर्जाको सावा ब्याज असुली चैत मसान्तसम्म स्थगन ,,https://www.onlinekhabar.com/2020/03/847692
onlinekhabar, विदेशी पर्यटकलाई हवाई उद्दार गरी उनीहरूकै देश फर्काइने ,,https://www.onlinekhabar.com/2020/03/847690
onlinekhabar, अरु अस्पतालको सेवा बन्द हुँदा कोरोना विशेष अस्पतालमा चाप ,,https://www.onlinekhabar.com/2020/03/847688
onlinekhabar, नेपालमा तेस्रो व्यक्तिमा कोरोना संक्रमण भेटियो ,,https://www.onlinekhabar.com/2020/03/847483
onlinekhabar,"
तेस्रो संक्रमणको खबर बाहिरिएपछि टेकु अस्पतालमा खैलाबैला !
",,https://www.onlinekhabar.com/2020/03/847657
onlinekhabar,"
कोरोना जाँच्न पाटन अस्पताल जाँदा के हुन्छ ?
",,https://www.onlinekhabar.com/2020/03/847671
ekantipur,इटाली र स्पेनमा कोरोनाको महामारी फुटबलबाट !,,https://ekantipur.com/sports/2020/03/25/158515773581579430.html
ekantipur,कोरोना प्रभावित व्यवसायीलाई चैत मसान्तसम्म ऋणको सावा ब्याज बुझाउन छुट,,https://ekantipur.com/business/2020/03/25/158514731190533400.html
ekantipur,७ दिने ‘लकडाउन’लाई ७ फिल्म-२,लकडाउनको दोस्रो दिन । नेपालमा आज कोरोना संक्रमितको संख्या तीन पुग्यो । उपचार भएकाको संख्या एक । कोरोना पुग्न बाँकी रहेको देश मध्ये मालीमा पनि आजै दुईजनामा देखियो ।,https://ekantipur.com/entertainment/2020/03/25/158514129418457.html
ekantipur,प्रधानमन्त्रीको आग्रह–‘अर्को घोषणा नहुँदासम्म घरमै बस्‍नुहोस्’,प्रधानमन्त्री केपी शर्मा ओलीले घरमै बस्न सबैलाई आग्रह गरेका छन् । बुधबार अपरान्ह सामाजिक सञ्जाल ट्वीटरमार्फत अर्को घोषणा नहुँदासम्म सबै घरभित्र बसिरहन आग्रह गरेका हुन् ।,https://ekantipur.com/news/2020/03/25/158513959355078613.html
ekantipur,लकडाउनको दोस्रो दिन : मुलुकभर कहाँ के भए ?,"विश्‍वभर फैलिएको महामारी कोरना भाइरस (कोभिड–१९) को संक्रमणबाट ब्यक्ति–ब्यक्तिबीच दूरी कायम गरी फैलन नदिन लागू गरिएको ‘लकडाउन’बुधबार दोस्रो दिन । सहरी क्षेत्रमा प्राय: सुनसान रहे भने ग्रामीण क्षेत्रमा कम प्रभाव देखिएको छ । सम्भावित जोखिमका लागि विभिन्‍न जिल्लामा क्‍वारेन्टाइन, आइसोलेसन निर्माण, विभिन्न‍ चिकित्सा सामग्री जम्मा पार्ने लगायत तयारी भइरहेको छ ।",https://ekantipur.com/news/2020/03/25/158514685081072689.html
ekantipur,कोरोना रोकथामका लागि गण्डकी सरकारको १५ करोडको कोष,"कोभिड–१९ (कोरोना भाइरस) रोकथाम, नियन्त्रण र व्यवस्थापनका लागि गण्डकी प्रदेश सरकारले १५ करोड रुपैयाँको कोष स्थापना गरेको छ ।",https://ekantipur.com/pradesh-4/2020/03/25/158514302012686013.html
ekantipur,घरमै खाद्यवस्तु डेलिभरी,सरकारले खाद्यवस्तुको होम डेलिभरी गर्ने व्यवस्था मिलाउने निर्णय गरेको छ । कोरोना समन्वय समितिको बुधबार बसेको बैठकले ठूला खाद्य स्टोर तथा पसलहरुले आवश्यक खाद्यवस्तुहरु होम डेलिभरी गर्ने व्यवस्था मिलाउने निर्णय गरेको हो ।,https://ekantipur.com/news/2020/03/25/158514349204596773.html
ekantipur,"साउदीका प्रमुख सहर लकडाउन, बिहीबार दिउँसो ३ बजेदेखि कर्फ्यु",साउदी अरबले कोरोना भाइरस (कोभिड १९) को संक्रमणलाई फैलिन नदिनका लागि प्रमुख प्रशासकीय सहरहरुमा लकडाउन गरेको छ । बिहीबार दिउँसो ३ बजेदेखि अर्को आदेश नभएसम्मका लागि भने कर्फ्युको आदेश जारी गरिएको छ ।,https://ekantipur.com/world/2020/03/25/158514130882267192.html
ekantipur,नेपाल टेलिकमले रिचार्जमा सतप्रतिशत बोनस दिने,नेपाल टेलिकमले भोलिदेखि लागू हुने गरी रिचार्जमा सत प्रतिशत बोनस दिने भएको छ । टेलिकमले बुधबार विज्ञप्ती जारी गर्दै बिहीबारदेखि यो अफर लागू हुने जनाएको छ ।,https://ekantipur.com/technology/2020/03/25/158514186761962012.html
